[ 2025-05-11 17:56:41,507 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-05-11 17:56:41,507 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-05-11 17:56:45,502 ] 18 root - INFO - initiate data ingestion
[ 2025-05-11 17:56:47,553 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-11 17:56:47,553 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-11 17:56:47,553 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-11 17:56:47,635 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-11 17:56:47,636 ] 21 root - INFO - Data ingetion completed
[ 2025-05-11 17:56:47,642 ] 26 root - INFO - Initiated data validation
[ 2025-05-11 17:56:47,728 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 17:56:47,728 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 17:56:47,728 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 17:56:47,728 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 17:56:47,888 ] 29 root - INFO - Data validation completed
[ 2025-05-11 17:56:47,889 ] 44 root - INFO - Enterd the data transformation stage
[ 2025-05-11 17:56:47,889 ] 46 root - INFO - Started data transformation
[ 2025-05-11 17:56:47,925 ] 34 root - INFO - Entered get_data_transformer_objec method of Transformation clsas
[ 2025-05-11 17:56:47,925 ] 37 root - INFO - Initialzed KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-11 17:56:47,945 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-11 17:56:47,950 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-11 17:56:47,951 ] 35 root - INFO - Data Transformation completed
[ 2025-05-11 17:56:47,951 ] 39 root - INFO - Model Training started
