[ 2025-05-10 16:41:02,024 ] 18 root - INFO - initiate data ingestion
[ 2025-05-10 16:41:14,664 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-10 16:41:14,664 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-10 16:41:14,664 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-10 16:41:14,715 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-10 16:41:14,716 ] 21 root - INFO - Data ingetion completed
[ 2025-05-10 16:41:14,720 ] 26 root - INFO - Initiated data validation
[ 2025-05-10 16:41:14,807 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-10 16:41:14,816 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-10 16:41:14,816 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-10 16:41:14,816 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-10 16:41:14,973 ] 29 root - INFO - Data validation completed
[ 2025-05-10 16:41:14,974 ] 44 root - INFO - Enterd the data transformation stage
[ 2025-05-10 16:41:14,974 ] 46 root - INFO - Started data transformation
[ 2025-05-10 16:41:14,999 ] 34 root - INFO - Entered get_data_transformer_objec method of Transformation clsas
[ 2025-05-10 16:41:14,999 ] 37 root - INFO - Initialzed KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-10 16:41:15,015 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-10 16:41:15,017 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-10 16:41:15,018 ] 35 root - INFO - Data Transformation completed
[ 2025-05-10 16:41:15,018 ] 39 root - INFO - Model Training started
[ 2025-05-10 16:44:22,981 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-10 16:44:23,024 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-10 16:44:23,024 ] 93 root - INFO - Mode Trainer arifact: ModelTrainerArtifact(trained_model_filepath='Artifacts\\05_10_2025_16_41_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9729514717581543, precision_score=0.971405877680699, recall_score=0.9745019920318725), test_metirc_artifact=ClassificationMetricArtifact(f1_score=0.9729514717581543, precision_score=0.971405877680699, recall_score=0.9745019920318725))
[ 2025-05-10 16:44:23,028 ] 43 root - INFO - Model training Completed
