[ 2025-05-11 16:43:00,415 ] 18 root - INFO - initiate data ingestion
[ 2025-05-11 16:43:02,742 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-11 16:43:02,742 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-11 16:43:02,744 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-11 16:43:02,834 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-11 16:43:02,835 ] 21 root - INFO - Data ingetion completed
[ 2025-05-11 16:43:02,846 ] 26 root - INFO - Initiated data validation
[ 2025-05-11 16:43:02,961 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 16:43:02,962 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 16:43:02,962 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 16:43:02,962 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 16:43:03,139 ] 29 root - INFO - Data validation completed
[ 2025-05-11 16:43:03,140 ] 44 root - INFO - Enterd the data transformation stage
[ 2025-05-11 16:43:03,140 ] 46 root - INFO - Started data transformation
[ 2025-05-11 16:43:03,180 ] 34 root - INFO - Entered get_data_transformer_objec method of Transformation clsas
[ 2025-05-11 16:43:03,180 ] 37 root - INFO - Initialzed KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-11 16:43:03,210 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-11 16:43:03,221 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-11 16:43:03,222 ] 35 root - INFO - Data Transformation completed
[ 2025-05-11 16:43:03,224 ] 39 root - INFO - Model Training started
