[ 2025-05-08 17:23:25,733 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-05-08 17:23:25,733 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-05-08 17:23:26,693 ] 16 root - INFO - initiate data ingestion
[ 2025-05-08 17:23:44,151 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-08 17:23:44,151 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-08 17:23:44,152 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-08 17:23:44,197 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-08 17:23:44,197 ] 19 root - INFO - Data ingetion completed
[ 2025-05-08 17:23:44,201 ] 24 root - INFO - Initiated data validation
[ 2025-05-08 17:23:44,285 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-08 17:23:44,285 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-08 17:23:44,285 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-08 17:23:44,285 ] 37 root - INFO - DataFrame has columns: 31
