[ 2025-05-11 17:52:47,207 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-05-11 17:52:47,207 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-05-11 17:52:51,355 ] 18 root - INFO - initiate data ingestion
[ 2025-05-11 17:52:53,564 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-11 17:52:53,564 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-11 17:52:53,564 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-11 17:52:53,632 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-11 17:52:53,632 ] 21 root - INFO - Data ingetion completed
[ 2025-05-11 17:52:53,640 ] 26 root - INFO - Initiated data validation
[ 2025-05-11 17:52:53,740 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 17:52:53,740 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 17:52:53,741 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-11 17:52:53,741 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-11 17:52:53,900 ] 29 root - INFO - Data validation completed
[ 2025-05-11 17:52:53,901 ] 44 root - INFO - Enterd the data transformation stage
[ 2025-05-11 17:52:53,901 ] 46 root - INFO - Started data transformation
[ 2025-05-11 17:52:53,943 ] 34 root - INFO - Entered get_data_transformer_objec method of Transformation clsas
[ 2025-05-11 17:52:53,943 ] 37 root - INFO - Initialzed KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-11 17:52:53,976 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-11 17:52:53,979 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-11 17:52:53,980 ] 35 root - INFO - Data Transformation completed
[ 2025-05-11 17:52:53,980 ] 39 root - INFO - Model Training started
