[ 2025-05-10 16:35:53,570 ] 18 root - INFO - initiate data ingestion
[ 2025-05-10 16:36:04,097 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-10 16:36:04,097 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-10 16:36:04,098 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-10 16:36:04,154 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-10 16:36:04,154 ] 21 root - INFO - Data ingetion completed
[ 2025-05-10 16:36:04,174 ] 26 root - INFO - Initiated data validation
[ 2025-05-10 16:36:04,259 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-10 16:36:04,260 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-10 16:36:04,260 ] 36 root - INFO - Required number of columns: 31
[ 2025-05-10 16:36:04,260 ] 37 root - INFO - DataFrame has columns: 31
[ 2025-05-10 16:36:04,388 ] 29 root - INFO - Data validation completed
[ 2025-05-10 16:36:04,389 ] 44 root - INFO - Enterd the data transformation stage
[ 2025-05-10 16:36:04,389 ] 46 root - INFO - Started data transformation
[ 2025-05-10 16:36:04,425 ] 34 root - INFO - Entered get_data_transformer_objec method of Transformation clsas
[ 2025-05-10 16:36:04,426 ] 37 root - INFO - Initialzed KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-10 16:36:04,441 ] 51 root - INFO - Entered the save object method of MainUtil class
[ 2025-05-10 16:36:04,445 ] 55 root - INFO - Exited the save_object method of  MainUtils class
[ 2025-05-10 16:36:04,446 ] 35 root - INFO - Data Transformation completed
[ 2025-05-10 16:36:04,446 ] 39 root - INFO - Model Training started
